Ano,Empresa,Emissão,Série,Cód. CETIP,Valor
2023,Scheffer & Cia Ltda,263ª,1,CRA02300O8J,"R$ 120.000.000,00"
2023,Sansão & Florindo Ltda,281ª,1-2,CRA02300P01 CRA02300P02,"R$ 32.000.000,00"
2023,Fazendão Indústria e Comércio de Produtos Agropecuários Ltda,283ª,1,CRA02300RGX,"R$ 129.000.000,00"
2023,Alfama Foods Brasil S.A.,274ª,1,CRA02300NGH,"R$ 12.000.000,00"
2023,Ectare Pay Serviços de Gestão de Pagamentos S.A,270ª,1-2,CRA02300NM1 CRA02300NM3,"R$ 54.520.000,00"
2023,Conservas Oderich S.A.,286ª,1-2,CRA02300LRD CRA02300LRE,"R$ 99.000.000,00"
2023,Plantar e Colher Representações e Comércio de Produtos Agrícolas Ltda,276ª,1-2,CRA02300LWX CRA02300LWY,"R$ 30.000.000,00"
2023,Madero Indústria e Comércio S.A.,287ª,1-2,CRA02300MZT CRA02300MZU,"R$ 150.000.000,00"
2023,Dexco S.A e Duratex Florestal Ltda,285ª,1,CRA02300NAX,"R$ 1.500.000.000,00"
2023,Regional Agro Insumos Ltda,169ª,1-2,CRA02300K7T CRA02300KDD,"R$ 23.000.000,00"
2023,Zanchetta Alimentos Ltda.,275ª,1-2,CRA02300JWP CRA02300JWQ,"R$ 200.000.000,00"
2023,Indústria de Rações Patense Ltda,218ª,1,CRA022009VP,"R$ 100.000.000,00"
2023,Belmiro Catelan,267ª,1,CRA02300HQX,"R$ 122.000.000,00"
2023,Alcoeste Bioenergia Fernandópolis S.A.,269ª,1,CRA02300JAH,"R$ 80.000.000,00"
2023,Casafértil Ltda,250ª,1-2,CRA02300J4X CRA02300J4Y,"R$ 20.000.000,00"
2023,Pantanal Agrícola S.A.,271ª,1-2-3,CRA02300HLD CRA02300HLE CRA02300HLF,"R$ 100.000.000,00"
2023,Avantiagro Comercial Agrícola Ltda,266ª,1-2,CRA02300HA9 CRA02300HAA,"R$ 49.816.000,00"
2023,Grupo AP Agrícola,249ª,1-2,CRA02300H4P CRA02300H4Q,"R$ 80.000.000,00"
2023,Indústria de Rações Patense Ltda,265ª,1,CRA02300GO1,"R$ 130.000.000,00"
2023,Marfrig Global Foods S.A.,273ª,1-2-3,CRA02300G7D CRA02300G7E CRA02300G7F,"R$ 1.125.000.000,00"
2023,Yara Brasil Fertilizantes S.A.,256ª,1-2-3,CRA02300EZ3 CRA02300F4H CRA02300F4J,"R$ 253.338.000,00"
2023,Belmiro Catelan,247ª,1,CRA02300ASX,"R$ 178.000.000,00"
2023,Supply Chain Armazéns Gerais Ltda.,242ª,1,CRA02300ECP,"R$ 40.000.000,00"
2023,Agrodinâmica Comércio e Representação Ltda.,255ª,1-2-3,CRA02300EI9 CRA02300EIA CRA02300EIB,"R$ 50.000.000,00"
2023,Neves e Cabral Comércio e Representação de Produtos Agrícolas Ltda,262ª,1-2,CRA02300DFD CRA02300DFE,"R$ 20.000.000,00"
2023,Casa do Café Comércio e Representações de Produtos Agrícolas Ltda,260ª,1-2,CRA02300D49 CRA02300D9T,"R$ 23.000.000,00"
2023,Aliança Agrícola do Cerrado S.A,259ª,1-2,CRA02300CI1 CRA02300CI2,"R$ 200.000.000,00"
2023,FS Indústria De Biocombustíveis Ltda,264ª,1-2,CRA02300CCH CRA02300CCI,"R$ 400.000.000,00"
2023,Pantanal Agrícola,229ª,1-2-3,CRA02300BVT CRA02300C1D CRA02300C6X,"R$ 100.000.000,00"
2023,Camil Alimentos S.A,257ª,1,CRA02300B9L,"R$ 625.000.000,00"
2023,Agroconfiança Comércio e Representação Ltda,252ª,1-2,CRA023009VL CRA023009VM,"R$ 23.000.000,00"
2023,Hinove Agrociência S.A,254ª,1,CRA023008HL,"R$ 100.000.000,00"
2023,Toagro Agronegócios Ltda,251ª,1-2-3,CRA023007K9 CRA023007PT CRA023007PU,"R$ 42.000.000,00"
2023,Cooperativa Agrícola de Unaí Ltda,225ª,1,CRA023006SH,"R$ 208.900.000,00"
2023,Usina Coruripe Açúcar e Álcool,207ª,1,CRA023000M9,"R$ 106.665.000,00"
2023,FS Indústria De Biocombustíveis Ltda,243ª,1-2,CRA02300795 CRA02300796,"R$ 750.000.000,00"
2023,STOPPE LTDA,237ª,1,CRA0230040H,"R$ 60.000.000,00"
2023,Integrada Cooperativa Agroindustrial,224ª,1,CRA023002GX,"R$ 300.000.000,00"
2023,Agrofarm Produtos Agroquímicos Ltda,227ª,1-2,CRA02300335 CRA0230038P,"R$ 23.000.000,00"
2023,Lavoro Agro Holding S.A,223ª,1-2,CRA02300TBL CRA02300TBM,"R$ 420.000.000,00"
2023,Natural One,235ª,1,CRA023001UP,"R$ 116.000.000,00"
2023,PISANI PLÁSTICOS S.A.,228ª,1,CRA023001JL,"R$ 100.000.000,00"
2023,Vale do Pontal Açucar e Etanol S.A.,234ª,1,CRA0230012X,"R$ 200.000.000,00"
2023,FS Florestal S.A.,239ª,1,CRA023000XD,"R$ 100.000.000,00"
2023,Vamos,233ª,1-2-3,CRA023000GP CRA023000MC CRA023000RT,"R$ 650.000.000,00"
2022,Zootec,231ª,1-2,CRA0230005N CRA0230005O,"R$ 150.000.000,00"
2022,VB Alimentos,183ª,1,CRA02200EZ0,"R$ 50.000.000,00"
2022,FS FLORESTAL S.A,1ª,1,22L1173045,"R$ 80.000.000,00"
2022,Coopertradição,213ª,1,CRA02200D4E,"R$ 90.000.000,00"
2022,FS FLORESTAL S.A,221ª,1,CRA02200CI1,"R$ 112.600.000,00"
2022,FS FLORESTAL S.A,222ª,1,CRA02200CI2,"R$ 110.000.000,00"
2022,Agrofito Produtores,216ª,1-2-3,CRA02200CCK CRA02200CCL CRA02200CCM,"R$ 35.000.000,00"
2022,Cotribá Produtores,196ª,1-2-3,CRA0220093U CRA0220093V CRA0220093W,"R$ 68.847.000,00"
2022,Yara,220ª,1-2-3,CRA02200C70 CRA02200C71 CRA02200C73,"R$ 152.200.000,00"
2022,Marfrig,219ª,1-2,CRA02200C6Y CRA02200C6Z,"R$ 1.000.000.000,00"
2022,AGRIVALE,208ª,1,CRA02200BKP,"R$ 35.000.000,00"
2022,Indústria de Rações Patense Ltda,186ª,1-2,CRA02200C1F CRA02200C1I,"R$ 540.000.000,00"
2022,TINDIANA,205ª,1,CRA00000000,"R$ 50.000.000,00"
2022,TECPLANTE,204ª,1-2-3,CRA02200AYI CRA02200AYK CRA02200AYL,"R$ 25.000.000,00"
2022,AGROMANO,191ª,1-2-3,CRA00000000 CRA00000000 CRA00000000,"R$ 30.000.000,00"
2022,AGRO QUARTZO LTDA.,209ª,1,CRA02200AC9,"R$ 150.000.000,00"
2022,FAZENDÃO IND. E COM. LTDA.,199ª,1-2,CRA022009Q7 CRA022009VL,"R$ 120.000.000,00"
2022,Café Brasil,190ª,1,CRA022009VM,"R$ 100.000.000,00"
2022,FS Infraestrutura S.A.,212ª,1,CRA02200A6P,"R$ 110.000.000,00"
2022,AGROBRASIL,197ª,1-2-3,CRA022009EX CRA022009EY CRA022009EZ,"R$ 30.000.000,00"
2022,Cresol,174ª,1,CRA0220099D,"R$ 250.000.000,00"
2022,Solubio Tecnologias Agrícolas S.A.,203ª,1,CRA022008YH,"R$ 150.000.000,00"
2022,ALCOESTE BIOENERGIA S.A.,201ª,1-2,CRA022008YD CRA022008YE,"R$ 50.000.000,00"
2022,Coopernorte,192ª,1-2-3,CRA022008YA CRA022008YB CRA022008YC,"R$ 60.000.000,00"
2022,INDÚSTRIA TÊXTIL APUCARANA LTDA.,176ª,1,CRA022008T1,"R$ 65.799.000,00"
2022,Usina Santa Fé S.A.,210ª,1,CRA022008Y9,"R$ 150.000.000,00"
2022,AGRÍCOLA PANORAMA LTDA,202ª,1-2-3,CRA022008SP CRA022008SQ CRA022008SR,"R$ 35.000.000,00"
2022,Sorocaba Refrescos S.A.,193ª,1-2,CRA022008NC CRA022008NE,"R$ 90.000.000,00"
2022,ECTARE S.A.,156ª,1-2,CRA0220081B CRA0220081C,"R$ 50.000.000,00"
2022,Pantanal Agrícola,163ª,1-2-3,CRA022008N8 CRA022008N9 CRA022008NA,"R$ 80.000.000,00"
2022,Jalles Machado S.A.,200ª,1,CRA022008CB,"R$ 71.955.000,00"
2022,Irani Papel e Embalagem S.A.,194ª,1-2,CRA022008NF CRA022008NH,"R$ 720.000.000,00"
2022,SUPPLY SEEDS LTDA,181ª,1-2,CRA022008C8 CRA022008CA,"R$ 35.000.000,00"
2022,NATIVA AGRÍCOLA LTDA,185ª,1-2-3,CRA022008C4 CRA022008C5 CRA022008C6,"R$ 120.000.000,00"
2022,Unidas-Companhia de Locação das Américas,157ª,1-2,CRA022008C7 CRA022008C9,"R$ 700.000.000,00"
2022,Uby Agroquímica S.A.,179ª,1-2,CRA02200816 CRA02200817,"R$ 253.177.000,00"
2022,Neomille S.A.,206ª,1,CRA0220080Y,"R$ 300.000.000,00"
2022,COPLANA - COOPERATIVA AGROINDUSTRIAL,195ª,1,CRA022007VG,"R$ 100.000.000,00"
2022,Caramuru Alimentos S.A,172ª,1,CRA022006BU,"R$ 600.000.000,00"
2022,Adubos Araguaia,175ª,1-2,CRA02200795 CRA02200796,"R$ 700.000.000,00"
2022,Tobasa Bioindustrial de Babaçu S.A.,133ª,1,CRA022008YG,"R$ 32.000.000,00"
2022,Expocaccer – Cooperativa dos Cafeicultores do Cerrado Ltda,159ª,1,CRA02200798,"R$ 100.000.000,00"
2022,São José Agrícola Operacional Ltda,170ª,1,CRA02200797,"R$ 40.000.000,00"
2022,Yara Brasil Fertilizantes S.A.,178ª,1-2-3,CRA022006SH CRA022006SI CRA022006SK,"R$ 520.280.000,00"
2022,Dexco S.A.,187ª,1-2,CRA022006MX CRA022006MY,"R$ 600.000.000,00"
2022,Gencau Pará,184ª,1-2,CRA022006HH CRA022006HI,"R$ 70.000.000,00"
2022,São Salvador Alimentos S.A.,173ª,1-2,CRA022006HJ CRA022006HK,"R$ 250.000.000,00"
2022,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",188ª,1-2,CRA022007KG CRA022007KH,"R$ 500.000.000,00"
2022,Agrocerrado,180ª,1-2-3,CRA022007KC CRA022007KD CRA022007KE,"R$ 20.000.000,00"
2022,Agropecuária Schio,177ª,1,CRA022006BT,"R$ 100.000.000,00"
2022,Casa do Café,164ª,1-2-3,CRA0220053D CRA0220053E CRA0220053F,"R$ 15.000.000,00"
2022,Cerradão,162ª,1,CRA022004XY,"R$ 200.000.000,00"
2022,Vamos,93ª,1-2,CRA022004MS CRA022004S9,"R$ 600.000.000,00"
2022,Bem Brasil,154ª,1,CRA022003JT,"R$ 270.651.000,00"
2022,Neves & Cabral (Agrotech),168ª,1-2-3,CRA022004XT CRA022004XU CRA022004XV,"R$ 15.000.000,00"
2022,FS Bio,167ª,1-2,CRA022004SC CRA022004SD,"R$ 750.000.000,00"
2022,Palmital,155ª,1-2,CRA022004BN CRA022004BO,"R$ 85.000.000,00"
2022,Neomille,150ª,1,CRA021005W1,"R$ 600.000.000,00"
2022,St. Marche,161ª,1-2,CRA022002XV CRA022002XX,"R$ 200.000.000,00"
2022,Faber-Castell,160ª,1,CRA022002XT,"R$ 150.000.000,00"
2022,Daroit Produtores,166ª,1,CRA0220033H,"R$ 41.500.000,00"
2022,Toagro,135ª,1-2-3,CRA022002XW CRA022002XY CRA022002XZ,"R$ 20.000.000,00"
2022,Produtores,106ª,1-2,CRA022002S1 CRA00000000,"USD 16.000.000,00"
2022,Madero,141ª,1-2,CRA022000RT CRA022000RU,"R$ 500.000.000,00"
2022,Primato,147ª,1,CRA022001UP,"R$ 75.000.000,00"
2022,Cresol,138ª,1,CRA02200209,"R$ 60.000.000,00"
2022,Cotribá Cargill,137ª,1-2,CRA022001JL CRA022001P5,"R$ 150.000.000,00"
2022,FS Bio,140ª,1-2,CRA022001E1 CRA022001E2,"R$ 1.015.953.000,00"
2022,Marfrig,153ª,1-2-3,CRA022000XD CRA022000XE CRA022000XF,"R$ 1.500.000.000,00"
2022,Agrofito,131ª,1-2-3,CRA022000GS CRA022000GT CRA022000GU,"R$ 50.000.000,00"
2022,Cultura,125ª,1-2-3,CRA022000GP CRA022000GQ CRA022000GR,"R$ 30.000.000,00"
2022,Vale do Tijuco,128ª,1,CRA0220012X,"R$ 600.000.000,00"
2021,Katayama,148ª,1-2,CRA021005M1 CRA021005M2,"R$ 45.000.000,00"
2021,Goplan,145ª,1-2-3,CRA021005QH CRA021005QI CRA021005QJ,"R$ 47.500.000,00"
2021,Nutrimaq,134ª,1-2-3,CRA021005QL CRA021005QM CRA021005QN,"R$ 30.000.000,00"
2021,Spaço,136ª,1-2,CRA021005LT CRA021005LU,"R$ 30.000.000,00"
2021,OBA,142ª,1,CRA021005LK,"R$ 100.000.000,00"
2021,Catelan,123ª,1,CRA021005FD,"R$ 55.000.000,00"
2021,Florindo,129ª,1-2-3,CRA021005FE CRA021005FF CRA021005FG,"R$ 25.000.000,00"
2021,CRIALT,113ª,1-2-3,CRA021005FH CRA021005FJ CRA021005FK,"R$ 15.000.000,00"
2021,Braskem,124ª,1-2,CRA0210059T CRA0210059U,"R$ 144.950.020,00"
2021,Grupo Raça Agro,118ª,1,CRA021004T6,"R$ 40.000.000,00"
2021,Yara,139ª,1-2-3,CRA021004NM CRA021004NN CRA021004NP,"R$ 31.500.000,00"
2021,Supply,76ª,1,CRA021004I2,"R$ 22.000.000,00"
2021,Lar,120ª,1-2,CRA021004NV CRA021004NW,"R$ 400.000.000,00"
2021,Agrícola Panorama,127ª,1-2-3,CRA0210041D CRA0210041E CRA0210041F,"R$ 45.000.000,00"
2021,Yara,130ª,1-2-3,CRA021003QD CRA021003QE CRA021003QF,"R$ 51.500.000,00"
2021,Integrada,119ª,1-2-3,CRA021003Q9 CRA021003QA CRA021003QC,"R$ 70.000.000,00"
2021,Grupo JB,122ª,1,CRA02100479,"R$ 130.000.000,00"
2021,Cotribá Produtores,105ª,1-2,CRA0210039M CRA0210039N,"R$ 97.523.000,00"
2021,JF Citrus,121ª,1,CRA021003F5,"R$ 240.000.000,00"
2021,J. Macedo,111ª,1,CRA021002YF CRA00000,"R$ 271.500.000,00"
2021,Adubos Araguaia,117ª,1,CRA021002SS,"R$ 100.000.000,00"
2021,Caramuru,115ª,1,CRA021002YA,"R$ 354.973.000,00"
2021,FS Bio,114ª,1,CRA021002NA,"R$ 300.000.000,00"
2021,Elo,110ª,1-2-3,CRA021002NC CRA021002ND CRA021002NE,"R$ 20.000.000,00"
2021,Umgrauemeio,103ª,1,CRA021002N4,"R$ 8.000.000,00"
2021,Café Brasil,108ª,1,CRA021002HJ,"R$ 30.000.000,00"
2021,Adami,101ª,1,CRA0210020V,"R$ 150.000.000,00"
2021,Pantanal Agrícola,107ª,1-2-3,CRA021001KE CRA021001KF CRA021001KG,"R$ 60.000.000,00"
2021,Unidas - LCAM,104ª,1,CRA021001KB,"R$ 200.000.000,00"
2021,Tanac,116ª,1,CRA021002ST,"R$ 195.000.000,00"
2021,Iberê,102ª,1,CRA021001K8,"R$ 41.000.000,00"
2021,Super ABC,100ª,1,CRA0210019A,"R$ 150.000.000,00"
2021,Planagri & Vera Cruz,98ª,1,CRA02100195,"R$ 100.000.000,00"
2021,Nortox,89ª,1,CRA02100132,"R$ 120.000.000,00"
2021,AvantiAgro,95ª,1-2-3,CRA0210013I CRA0210013J CRA0210013K,"R$ 27.000.000,00"
2021,Libra,94ª,1-2,CRA0210013C CRA0210013F,"R$ 35.000.000,00"
2021,Cotribá Produtores,86ª,1-2-3,CRA02100136 CRA02100137  CRA02100139,"R$ 65.442.000,00"
2021,Yara,88ª,1-2-3,CRA02100133 CRA02100134 CRA02100135,"R$ 326.808.000,00"
2021,Olfar,84ª,1,CRA021000XD,"R$ 150.000.000,00"
2021,JSL S.A.,92ª,1,CRA0210012Y,"R$ 500.000.000,00"
2021,Vix,90ª,1,CRA0210012X,"R$ 150.000.000,00"
2021,Ferrari,91ª,1,CRA021000RW,"R$ 80.000.000,00"
2021,Pantanal Agrícola,87ª,1-2-3,CRA021000S4 CRA021000S5 CRA021000S6,"R$ 30.000.000,00"
2021,Cotrijal,59ª,1-2-3,CRA021000RT CRA021000RU CRA021000RV,"R$ 29.008.000,00"
2021,Fazenda da Toca,85ª,1,CRA021000MI,"R$ 25.000.000,00"
2021,Colombo,82ª,1,CRA021000MB,"R$ 358.425.000,00"
2021,Rio Amambai,74ª,1-2,CRA021000GP CRA021000GQ,"R$ 60.000.000,00"
2020,Nativa II,78ª,1-2-3,CRA020003VR CRA020003VS CRA020003VT,"R$ 40.000.000,00"
2020,Caramuru,36ª,1-2,CRA020003VW CRA020003VX,"R$ 200.000.000,00"
2020,Cotribá Produtores,45ª,1-2-3,CRA020003VO CRA020003VP CRA020003VQ,"R$ 53.314.000,00"
2020,Predilecta,60ª,1,CRA020003VV,"R$ 105,000,000.00"
2020,Syngenta II,71ª,1,CRA020003VM,"R$ 1,055,637,000.00"
2020,Vale do Tijuco IV,69ª,1,CRA020003PQ,"R$ 180,000,000.00"
2020,Castilhos,72ª,1,CRA020003PR,R$ 16000000.00
2020,O Telhar,70ª,1,CRA020003PS,R$ 76490000.00
2020,Zanchetta,75ª,1-2,CRA020003KG CRA020003KH,R$ 200000000.00
2020,Vamos,81ª,1,CRA020003PY,R$ 400000000.00
2020,Coopernorte,73ª,1-2-3-4,CRA020003KC CRA020003KD CRA020003KE CRA020003KF,R$ 40000000.00
2020,Avanti Agro,65ª,1-2-3,CRA020003JV CRA020003JW CRA020003JX,R$ 23000000.00
2020,Agrogalaxy/Yara,68ª,1-2,CRA020003EK CRA020003EL,R$ 58419000.00
2020,Cultura,61ª,1-2-3,CRA020003EC CRA020003ED CRA020003EE,R$ 15000000.00
2020,UPL,64ª,1,CRA0200038S,R$ 173831000.00
2020,Rizoma,58ª,1-2,CRA02000337 CRA02000338,R$ 25000000.00
2020,Spaço,51ª,1-2-3,CRA020002XN CRA020002XO CRA020002XP,R$ 18000000.00
2020,Ubyfol,52ª,1,CRA020002MJ,R$ 80000000.00
2020,Vamos,54ª,1,CRA020001US,R$ 500000000.00
2020,Bem Brasil,48ª,1,CRA020002BF,R$ 213142000.00
2020,JSL,53ª,1,CRA020001E3,R$ 400000000.00
2020,Nutrimaq,49ª,1-2-3,CRA020001JN CRA020001JP CRA020001JQ,R$ 18000000.00
2020,Libra,43ª,1,CRA0200012Z,R$ 30000000.00
2020,Referência Agroinsumos Ltda.,40ª,1-2-3,CRA019007KO CRA019007KP CRA019007KQ,R$ 14000000.00
2020,Jalles Machado,21ª,1,CRA02000005,R$ 240000000.00
2020,Araunah,28ª,1-2-3,CRA020000XF CRA020000XG CRA020000XH,R$ 18000000.00
2020,JF Citrus,37ª,1,CRA020000B7,R$ 204000000.00
2019,Agrofito - Produtor,42ª,1-2-3,CRA019007QA CRA019007QB CRA019007QC,R$ 14191000.00
2019,Syngenta,41ª,1,CRA0190079K,R$ 462855000.00
2019,Marca,39ª,1-2-3,CRA01900746 CRA01900747 CRA01900748,R$ 18100000.00
2019,Santa Adélia,38ª,1-2,CRA0190079L CRA0190079M,R$ 109500000.00
2019,Agrofito - Revenda,35ª,1-2-3,CRA019007KR CRA019007KS CRA019007KT,R$ 14000000.00
2019,Santa Colomba,31ª,1-2,CRA019007F4 CRA019007F5,R$ 100000000.00
2019,Florindo,30ª,1-2-3,CRA01900743 CRA01900744 CRA01900745,R$ 11000000.00
2019,Vale do Tijuco,26ª,1,CRA019006HS,R$ 300000000.00
2019,Vamos,23ª,1-2,CRA01900742 CRA01900749,R$ 220000000.00
2019,Unidas Agro,17ª,1,CRA019006SW,R$ 125000000.00
2019,Nativa,29ª,1-2-3,CRA019005VK CRA019005VL CRA019005VM,R$ 18000000.00
2019,Adecoagro,18ª,1,CRA0190066O,R$ 400000000.00
2019,Agrovale,22ª,1,CRA019005KH,R$ 84000000.00
2019,Agrícola Panorama,25ª,1-2-3,CRA019005KD CRA019005KE CRA019005KF,R$ 35000000.00
2019,Agropantanal,24ª,1-2-3,CRA0190053K CRA0190053L CRA0190053M,R$ 55000000.00
2019,Tirolez,15ª,1,CRA019004HC,R$ 100000000.00
2019,JSL,12ª,1-2,CRA01900466 CRA01900467,R$ 1020000000.00
2019,Libra,19ª,1,CRA019003PJ,R$ 15000000.00
2019,Produtores de Soja,14ª,1,CRA019002XQ,R$ 40000000.00
2019,Fortaleza,11ª,1-2-3,CRA019002S6 CRA019002S7 CRA019002S8,R$ 17600000.00
2019,Usina Coruripe,7ª,1-2,CRA0190020E CRA0190020F,R$ 710188000.00
2019,Pitangueiras,13ª,1-2,CRA019002H2 CRA019002H3,R$ 30000000.00
2019,Produtécnica,10ª,1-2-3,CRA019001PA CRA019001PB CRA019001PC,R$ 24000000.00
2019,Camil III,5ª,1-2,CRA01900132 CRA01900133,R$ 600000000.00
2019,Dipagro,9ª,1-2-3,CRA01900131 CRA0190012Y CRA0190012Z,R$ 22000000.00
2019,Vale do Tijuco,6ª,1,CRA0190005L,R$ 75000000.00
2018,Produtores de Soja,4ª,1,CRA018005EM,R$ 10000000.00
2018,Agrirede,2ª,1-2-3,CRA018004XW CRA018004XX CRA018004XY,R$ 64100000.00
2018,Ubyfol,1ª,187-188-189,CRA018004H8 CRA018004H9 CRA018004HA,R$ 55000000.00
2018,Boa Safra,1ª,177-178-179,CRA018004H5 CRA018004H6 CRA018004H7,R$ 32000000.00
2018,Vale do Tijuco,1ª,176,CRA018004SC,R$ 150000000.00
2018,Agrícola Panorama,1ª,183-184-185,CRA018003JT CRA018003JU CRA018003JV,R$ 22380000.00
2018,Libra,1ª,181-182,CRA018003PF CRA018003PG,R$ 15000000.00
2018,Agropantanal,1ª,173-174-175,CRA018002BD CRA018002BE CRA018002BF,R$ 114764000.00
2018,SPE Predilecta,1ª,154,CRA018003E9,R$ 18390000.00
2018,Caramuru,1ª,171-172,CRA018002GY CRA018002S2,R$ 100000000.00
2018,Ubyfol II,1ª,147-148-149,CRA0180005M CRA0180005N CRA0180005O,R$ 27115000.00
2018,Usina Batatais,1ª,169,CRA018002MH,R$ 200000000.00
2018,Refrescos Bandeirantes,1ª,168,CRA018001P5,R$ 120000000.00
2018,Coruripe III,1ª,161,CRA0180020B,R$ 254913000.00
2018,Produtores de Soja,1ª,180,CRA018002GX,R$ 13682672.56
2018,UMOE,1ª,165-166-167,CRA0180012Y CRA0180012Z CRA01800130,R$ 300000000
2018,Produtores de Soja,1ª,162,CRA018000XE,R$ 12500000.00
2018,O Telhar,1ª,160,CRA018000XD CRA018000XD CRA018000XD,R$ 3000000.00
2018,Santa Helena,1ª,163-164,CRA018001JL CRA018001JM,R$ 100000000.00
2017,Vinícola,1ª,112,CRA017000XE,R$ 2100000.00
